passportfrom_country_name,passportfrom_alpha_3code,New_Overall_ranking,gain-loss,gain-loss-rank,passportfrom_destinations_visafree,passportfrom_welcomed_visafree,visaFreeRatio,visafree_percent,visafree_countries_Rank,countryto_GDP_2016_billions_USD,countryto_UN_World_GDP_percent,GDP_Rank,countryto_surface_area,countryto_Surface_area_covered_percent,Surface_Rank,countryto_population_millions,countryto_UN_population_Value_percent,Population_Rank,countryto_unesco_total_sites,countryto_unesco_total_sites_percent,unesco_total_sites_Rank,passportfrom_region_name,passportfrom_sub_region_name,passportfrom_development_status,passportfrom_GDP_2016_billions_USD,passportfrom_GDP_capita_2016_USD,passportfrom_UN_World_GDP_percent,passportfrom_population_millions,passportfrom_UN_population_Value_percent,passportfrom_surface_area,passportfrom_Surface_area_covered_percent,passportfrom_unesco_total_sites,passportfrom_unesco_total_sites_percent,passportfrom_trade_import_UN,passportfrom_trade_export_UN,passportfrom_openness_index,passportfrom_unemployment_rate_UN,passportfrom_visitor_arrivals,passportfrom_tourism_expenditure
Chad,TCD,156,3,59,54.0,16.0,3.4,0.23788546255506607,159,3914.264,0.05174253235355751,145,18094.0,0.13288582717645162,144,1378.4799999999998,0.18059904465191107,139,136.0,0.11653813196229647,166,Africa,Sub-Saharan Africa,Least Developed,11.267,780.0,0.00014893811761994903,15.35,0.0020110522716374813,1284.0,0.009429943743482029,2.0,0.001713796058269066,1373.0,1990.0,298.4822934232715,5.7,71.0,
Comoros,COM,166,-3,114,53.0,198.0,0.3,0.23348017621145375,163,3623.2870000000007,0.04789611656845944,158,13807.0,0.10140127201421835,174,1198.8899999999999,0.15707038813963906,161,149.0,0.12767780634104542,154,Africa,Sub-Saharan Africa,Least Developed,1.15,1445.0,1.520181372707388e-05,0.83,0.0001087409371634599,2.0,1.4688385893274187e-05,,,193.0,20.0,185.21739130434784,4.4,15.0,
Lao People's Democratic Republic,LAO,134,29,4,53.0,167.0,0.3,0.23348017621145375,163,5381.587000000001,0.07113902880873245,132,33574.0,0.24657393399039385,108,1578.81,0.20684491446149653,119,169.0,0.14481576692373607,138,Asia,South-eastern Asia,Least Developed,15.806,2339.0,0.00020893901545228672,6.96,0.0009118517140453987,237.0,0.0017405737283529912,2.0,0.001713796058269066,4107.0,3124.0,457.4844995571302,0.7,1670.0,713.0
Equatorial Guinea,GNQ,180,-15,178,52.0,4.0,13.0,0.2290748898678414,165,2271.7909999999997,0.03003073357290687,181,12333.0,0.09057593161087528,180,830.8199999999999,0.10884836796885032,184,118.0,0.10111396743787492,181,Africa,Sub-Saharan Africa,Developing,10.678,8742.0,0.00014115214519799557,1.31,0.00017162726227003914,28.0,0.00020563740250583863,,,5457.0,7753.0,1237.1230567522007,5.6,,
Viet Nam,VNM,162,3,59,52.0,26.0,2.0,0.2290748898678414,165,3899.968,0.051553553980477285,147,14898.0,0.10941378651899943,165,1199.2999999999997,0.15712410354233433,160,141.0,0.12082262210796917,161,Asia,South-eastern Asia,Developing,205.276,2171.0,0.002713536969251146,96.49,0.012641461478195476,331.0,0.002430927865336878,8.0,0.006855184233076264,174978.0,176581.0,1712.6161850386795,2.6,5050.0,8250.0
Haiti,HTI,143,22,11,52.0,194.0,0.3,0.2290748898678414,165,5914.505000000003,0.07818365504160617,128,16697.0,0.12262598962999957,151,1351.91,0.1771180245309073,143,172.0,0.14738646101113964,136,Americas,Latin America and the Caribbean,Least Developed,7.647,705.0,0.00010108545180081215,11.11,0.001455556399862698,28.0,0.00020563740250583863,1.0,0.000856898029134533,3405.0,982.0,573.6890283771413,15.9,255.0,511.0
Jordan,JOR,163,5,46,51.0,139.0,0.4,0.22466960352422907,168,3780.8460000000005,0.049978884019784675,151,15291.0,0.11230005434702779,163,1045.0,0.1369087702841152,171,155.0,0.13281919451585258,146,Asia,Western Asia,Developing,38.655,4088.0,0.0005109792257565573,9.9,0.0012970304553231965,89.0,0.0006536331722507014,5.0,0.004284490145672665,19207.0,7509.0,691.1395679730953,12.5,4207.0,4943.0
Algeria,DZA,161,7,41,51.0,8.0,6.4,0.22466960352422907,168,3062.2820000000006,0.04048020916849675,169,17161.0,0.12603369515723917,146,1028.91,0.13480076826127177,172,164.0,0.1405312767780634,139,Africa,Northern Africa,Developing,159.049,3917.0,0.002102463714328151,42.01,0.005503863578598735,2382.0,0.01749386759888956,7.0,0.005998286203941731,47091.0,29992.0,484.6493847807908,10.0,2070.0,243.0
Central African Republic,CAF,178,-8,148,50.0,17.0,2.9,0.22026431718061673,170,2283.3749999999995,0.03018386210352811,179,12297.0,0.09031154066479635,181,896.28,0.11742449055526008,180,127.0,0.10882604970008568,177,Africa,Sub-Saharan Africa,Least Developed,1.81,394.0,2.3926332909568454e-05,4.74,0.0006210024604274699,623.0,0.00457543220575491,2.0,0.001713796058269066,401.0,88.0,270.16574585635357,6.3,54.0,
Angola,AGO,165,5,46,50.0,12.0,4.2,0.22026431718061673,170,3345.458000000001,0.044223503780651416,166,16752.0,0.12302992024206458,150,1191.1899999999998,0.15606158667438771,164,143.0,0.12253641816623823,158,Africa,Sub-Saharan Africa,Least Developed,106.918,3711.0,0.0014133456696272045,30.77,0.004031275465686338,1247.0,0.009158208604456456,1.0,0.000856898029134533,7331.0,21161.0,266.48459567144914,9.9,425.0,628.0
